
0.8432,0.6691
0.7677,0.6602
0.6775,0.5589
0.5826,0.4987
0.5157,0.5147
0.4853,0.4745
0.4736,0.3975
0.4390,0.4110
0.4106,0.3513
0.4191,0.3953
0.3950,0.4170
0.3796,0.3539
0.3785,0.3989
0.3735,0.3528
0.3396,0.3384
0.3411,0.2983
0.3541,0.3121
0.3282,0.2940
0.3328,0.3339
0.3269,0.3221
0.3321,0.3198
0.3053,0.3222
0.2964,0.2929
0.2988,0.3103
0.3027,0.2923
0.2899,0.2927
0.2755,0.3073
0.2805,0.3133
0.2720,0.2991
0.2788,0.2959
0.2732,0.2918
0.2700,0.2742
0.2579,0.2508
0.2621,0.2718
0.2672,0.3102
0.2607,0.2590
0.2564,0.2524
0.2531,0.2700
0.2499,0.2515
0.2567,0.2603
0.2537,0.2618
0.2601,0.2607
0.2564,0.2467
0.2517,0.2527
0.2419,0.2518
0.2454,0.2614
0.2480,0.2550
0.2460,0.2440
0.2485,0.2728
0.2572,0.2335
0.2434,0.2675
0.2491,0.2410
0.2327,0.2876
0.2512,0.2680
0.2450,0.2665
0.2405,0.2592
0.2472,0.2526
0.2473,0.2601
0.2501,0.2543
0.2506,0.2290
0.2457,0.2561
0.2403,0.2654
0.2461,0.2375
0.2506,0.2467
0.2412,0.2422
0.2429,0.2616
0.2530,0.2473
0.2433,0.2525
0.2424,0.2539
0.2574,0.2438
0.2494,0.2455
0.2437,0.2377
0.2526,0.2439
0.2521,0.2757
0.2403,0.2689
0.2339,0.2590
0.2518,0.2624
0.2415,0.2784
0.2457,0.2480
0.2545,0.2551
0.2509,0.2668
0.2434,0.2447
0.2577,0.2482
0.2471,0.2477
0.2417,0.2559
0.2427,0.2409
0.2539,0.2544
0.2462,0.2508
0.2422,0.2773
0.2434,0.2555
0.2476,0.2388
0.2477,0.2474
0.2543,0.2860
0.2551,0.2532
0.2482,0.2323
0.2447,0.2532
0.2383,0.2313
0.2495,0.2483
0.2489,0.2391
0.2484,0.2450
